,open,high,low,close,volume,rsi,williams %R,mfi,retorno,sentimiento_textblob,sentimiento_vader,sentimiento_senticnet,sentimiento_lm,sentimiento_aleatorio
2013-01-23,18575.0,18675.0,18575.0,18625.0,20090914816.0,71.63978494623656,-13.333333333333334,96.78836496767683,1.0,0.0,0.0,0.0,0.0,0.0
2013-01-24,18625.0,18794.0,18625.0,18690.0,21821075456.0,74.07862407862407,-22.413793103448278,97.24454028241723,1.0,0.0,0.0,0.0,0.0,0.0
2013-01-25,18690.0,18737.0,18690.0,18705.0,1535935616.0,74.62101262579534,-19.181034482758623,97.23859842505888,1.0,0.0,0.0,0.0,0.0,0.0
2013-01-28,18705.0,18705.0,18610.0,18620.0,6337664512.0,66.17142873787878,-37.5,92.57931215726438,-1.0,0.0,0.0,0.0,0.0,0.0
2013-01-29,18620.0,18700.0,18615.0,18700.0,11884358656.0,69.654225662906,-20.25862068965517,93.40837860904824,1.0,0.75,0.75,0.75,0.75,0.75
2013-01-30,18700.0,18763.0,18700.0,18763.0,14392116224.0,72.09104492470644,-6.68103448275862,93.89696110744727,1.0,1.0,1.0,1.0,1.0,0.25
2013-01-31,18763.0,18785.0,18696.0,18696.0,12120560640.0,66.01928171282427,-21.120689655172413,88.30165241528735,-1.0,0.25,0.25,0.25,0.25,0.0
2013-02-01,18696.0,18764.0,18696.0,18732.0,6282114048.0,67.59839195924843,-13.36206896551724,88.9187042983474,1.0,0.0,0.0,0.0,0.0,0.0
2013-02-04,18732.0,18835.0,18600.0,18831.0,11501622272.0,71.51819926234606,-0.7920792079207921,89.16320730358215,1.0,0.0,0.0,0.0,0.0,0.0
2013-02-05,18831.0,18935.0,18831.0,18935.0,32411297792.0,74.94698939536254,0.0,91.30296934539443,1.0,0.0,0.0,0.0,0.0,0.0
2013-02-06,18935.0,19020.0,18710.0,18710.0,3037587456.0,58.530226460188054,-53.264604810996566,89.38649636221045,-1.0,0.0,0.0,0.0,0.0,0.0
2013-02-07,18710.0,18783.0,18200.0,18765.0,27165222912.0,60.79113237185135,-31.097560975609756,75.5232427919885,1.0,0.0,0.0,0.0,0.0,0.0
2013-02-08,18765.0,18765.0,18704.0,18760.0,17369544704.0,60.46837873223098,-31.70731707317073,77.05310731970201,-1.0,0.0,0.0,0.0,0.0,0.0
2013-02-11,18760.0,18760.0,18600.0,18605.0,17137382400.0,51.364252608118754,-50.609756097560975,67.72479733634131,-1.0,0.0,0.0,0.0,0.0,0.0
2013-02-12,18605.0,18700.0,18605.0,18698.0,14401716224.0,55.676285126066446,-39.268292682926834,66.80477156208194,1.0,0.0,0.0,0.0,0.0,0.0
2013-02-13,18698.0,18777.0,18670.0,18725.0,34496352256.0,56.87179539618383,-35.97560975609756,68.81153975994134,1.0,0.0,0.0,0.0,0.0,0.0
2013-02-14,18725.0,18737.0,18700.0,18737.0,3081625088.0,57.42147539255997,-34.512195121951216,69.03951848782889,1.0,0.0,0.0,0.0,0.0,0.0
2013-02-15,18737.0,18737.0,18613.0,18615.0,13179064320.0,50.38986191678336,-49.390243902439025,66.88415470976443,-1.0,0.0,0.0,0.0,0.0,0.0
2013-02-18,18615.0,18615.0,18560.0,18565.0,7591806976.0,47.80606431320479,-55.487804878048784,62.69812401345004,-1.0,0.0,0.0,0.0,0.0,0.0
2013-02-19,18565.0,18600.0,18480.0,18480.0,52668153856.0,43.70341581237025,-65.85365853658537,47.59324715952321,-1.0,0.0,0.0,0.0,0.0,0.0
